dayNumber,Status
1,6
2,6
3,6
4,6
5,2
6,6
7,6
8,6
9,6
10,4
11,6
12,4
13,6
14,6
15,6
16,6
17,4
18,6
19,4
20,6
21,6
22,6
23,6
24,4
25,6
26,4
27,6
28,6
29,6
30,6
31,4
32,6
33,4
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,2
51,2
52,2
53,2
54,2
55,2
56,3
57,2
58,2
59,2
60,2
61,2
62,3
63,3
64,2
65,2
66,2
67,2
68,2
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,3
77,3
78,2
79,2
80,2
81,2
82,2
83,3
84,4
85,2
86,2
87,2
88,2
89,2
90,3
91,4
92,2
93,2
94,2
95,2
96,0
97,3
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,4
109,6
110,4
111,6
112,6
113,6
114,6
115,4
116,6
117,4
118,6
119,6
120,6
121,6
122,4
123,6
124,4
125,6
126,6
127,6
128,6
129,4
130,6
131,4
132,6
133,6
134,6
135,6
136,4
137,6
138,4
139,6
140,6
141,6
142,6
143,4
144,6
145,4
146,6
147,6
148,4
149,4
150,3
151,4
152,3
153,4
154,4
155,4
156,4
157,3
158,4
159,3
160,4
161,4
162,4
163,4
164,3
165,4
166,3
167,4
168,4
169,4
170,4
171,3
172,4
173,3
174,4
175,4
176,4
177,4
178,3
179,4
180,4
181,6
182,6
183,6
184,6
185,4
186,6
187,4
188,6
189,6
190,6
191,6
192,4
193,6
194,4
195,6
196,6
197,6
198,6
199,4
200,6
201,4
202,6
203,6
204,6
205,6
206,4
207,6
208,4
209,6
210,6
211,6
212,6
213,1
214,2
215,1
216,3
217,3
218,4
219,2
220,1
221,2
222,1
223,3
224,3
225,1
226,2
227,4
228,6
229,4
230,6
231,6
232,6
233,6
234,4
235,6
236,4
237,6
238,6
239,6
240,6
241,2
242,6
243,4
244,6
245,6
246,6
247,6
248,4
249,6
250,4
251,6
252,6
253,6
254,6
255,4
256,6
257,3
258,6
259,6
260,6
261,6
262,4
263,6
264,4
265,6
266,6
267,6
268,6
269,4
270,6
271,4
272,6
273,6
274,6
275,6
276,4
277,6
278,4
279,6
280,6
281,6
282,6
283,4
284,6
285,4
286,6
287,6
288,6
289,6
290,4
291,6
292,4
293,6
294,6
295,6
296,6
297,4
298,6
299,4
300,6
301,6
302,6
303,6
304,4
305,6
306,4
307,6
308,6
309,6
310,6
311,4
312,6
313,4
314,6
315,6
316,6
317,6
318,4
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,4
329,4
330,4
331,4
332,3
333,4
334,3
335,4
336,4
337,4
338,4
339,3
340,4
341,3
342,4
343,4
344,4
345,4
346,3
347,4
348,3
349,4
350,4
351,4
352,4
353,3
354,3
355,3
356,3
357,3
358,3
359,6
360,6
361,6
362,6
363,6
364,6
365,6
