dayNumber,Status
1,6
2,6
3,6
4,6
5,3
6,6
7,6
8,4
9,6
10,4
11,6
12,6
13,6
14,6
15,4
16,6
17,4
18,6
19,6
20,6
21,6
22,4
23,6
24,4
25,6
26,6
27,6
28,6
29,4
30,6
31,4
32,6
33,6
34,6
35,6
36,4
37,6
38,4
39,6
40,6
41,6
42,6
43,4
44,6
45,4
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,2
63,2
64,2
65,2
66,2
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,3
75,3
76,2
77,2
78,2
79,2
80,2
81,3
82,3
83,2
84,2
85,4
86,2
87,2
88,3
89,3
90,2
91,2
92,2
93,2
94,2
95,3
96,3
97,2
98,2
99,2
100,2
101,2
102,3
103,4
104,2
105,2
106,2
107,2
108,0
109,3
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,4
121,6
122,4
123,6
124,6
125,6
126,6
127,4
128,6
129,4
130,6
131,6
132,6
133,6
134,4
135,6
136,4
137,6
138,6
139,6
140,6
141,4
142,6
143,4
144,6
145,6
146,6
147,6
148,4
149,6
150,4
151,6
152,6
153,6
154,6
155,4
156,6
157,4
158,6
159,6
160,4
161,4
162,3
163,4
164,3
165,4
166,4
167,4
168,4
169,3
170,4
171,3
172,4
173,4
174,4
175,4
176,3
177,4
178,3
179,4
180,4
181,6
182,6
183,4
184,6
185,4
186,6
187,6
188,6
189,6
190,4
191,6
192,4
193,6
194,6
195,6
196,6
197,4
198,6
199,4
200,6
201,6
202,6
203,6
204,4
205,6
206,4
207,6
208,6
209,6
210,6
211,4
212,6
213,4
214,3
215,3
216,1
217,2
218,1
219,4
220,1
221,3
222,3
223,1
224,2
225,1
226,2
227,1
228,3
229,6
230,6
231,6
232,4
233,6
234,4
235,6
236,6
237,6
238,6
239,4
240,6
241,4
242,3
243,6
244,6
245,6
246,4
247,6
248,4
249,6
250,6
251,6
252,6
253,4
254,6
255,4
256,6
257,6
258,3
259,6
260,4
261,6
262,4
263,6
264,6
265,6
266,6
267,4
268,6
269,4
270,6
271,6
272,6
273,6
274,4
275,6
276,4
277,6
278,6
279,6
280,6
281,4
282,6
283,4
284,6
285,6
286,6
287,6
288,4
289,6
290,4
291,6
292,6
293,6
294,6
295,4
296,6
297,4
298,6
299,6
300,6
301,6
302,4
303,6
304,4
305,6
306,6
307,6
308,6
309,4
310,6
311,4
312,6
313,6
314,6
315,6
316,4
317,6
318,4
319,6
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,4
329,4
330,3
331,4
332,3
333,4
334,4
335,4
336,4
337,3
338,4
339,3
340,4
341,4
342,4
343,4
344,3
345,4
346,3
347,4
348,4
349,4
350,4
351,3
352,4
353,3
354,4
355,3
356,3
357,3
358,3
359,3
360,6
361,6
362,6
363,6
364,6
365,6
366,6
